8
2.933198 2.570188 2.638621 2.642658 2.438173 2.739334 2.343981 2.848339 1.658745 0.712662 1.868930 1.498718 1.853670 1.712267 1.804690 1.669443 2.139473 1.685795 1.789946 1.699856 1.470526 1.601789 1.577086 1.539200 1.783526 0.548388 1.459619 0.909091 1.578948 0.785246 0.000000 1.499999 	3.241585
1.765245 1.848180 1.688952 1.812835 1.645727 1.901569 1.562698 2.080643 0.947011 1.251152 1.134906 2.204966 1.214752 2.385316 1.244318 2.256878 1.655030 1.973759 1.543956 2.106593 1.121832 1.981409 1.226451 1.902934 0.969369 1.045194 0.891883 0.818174 0.631578 0.801364 0.000000 0.749991 	2.938093
2.066911 0.749383 1.620221 1.072061 1.271025 1.510824 1.100821 1.922323 0.989985 1.146991 1.106564 2.260909 1.121032 2.566686 1.096215 2.499195 1.515584 1.911239 0.830194 2.134049 0.256263 2.087769 0.433737 2.059131 1.279446 0.469701 0.243328 0.363636 0.315790 0.331622 0.000000 0.000000 	2.051045
1.419989 1.046587 1.234743 1.197642 1.148677 1.494387 1.062955 1.868171 0.996714 1.136535 1.132766 2.240907 1.156774 2.540206 1.135314 2.469383 1.517849 1.917245 0.837541 2.114304 0.270134 2.053362 0.450141 2.017231 1.229619 0.464021 0.351331 0.424231 0.368411 0.365048 0.000000 0.249953 	1.201191
0.639502 1.158426 0.856716 1.314561 1.247591 1.631774 1.135975 1.987402 1.012948 1.153050 1.146685 2.266016 1.168300 2.566225 1.144444 2.493564 1.515915 1.897255 0.834317 2.101495 0.265567 2.048913 0.445302 2.018176 1.267158 0.514379 0.364849 0.499982 0.315789 0.370908 0.000000 0.000000 	1.764247
0.958113 1.451686 0.985151 1.485000 1.139568 1.612966 1.257022 1.906491 0.944564 2.884790 1.075924 2.603290 1.114258 2.186536 1.113468 2.110852 1.217354 2.012256 0.851675 2.222282 0.491540 2.140330 0.746264 2.083414 1.465654 0.378000 0.621718 0.424368 0.210605 0.567783 0.000000 0.249953 	2.555198
1.915135 2.020993 1.658530 1.886259 1.341398 1.948734 1.158802 2.224978 0.628677 2.999996 0.713078 2.999993 0.740376 2.441656 0.743920 2.183287 1.930058 2.101760 1.422772 2.405283 0.803974 2.350758 0.816572 2.303068 1.617058 0.193225 0.324329 0.181822 0.315785 0.530234 2.999977 0.749983 	2.626276
1.312391 1.904745 1.356274 1.696120 1.380752 1.702629 1.412149 1.877626 0.905171 2.956275 1.051838 2.860058 1.107090 2.181276 1.122687 1.788680 2.183542 2.046502 1.965832 2.224391 1.449128 2.109902 1.404863 2.026483 1.715379 0.167611 0.459353 0.272739 0.105270 0.530339 3.000000 0.000000 	2.043458
1.617786 2.511100 1.682319 2.491042 1.847274 2.508017 1.977214 2.565447 1.870912 0.660914 2.004408 1.426825 2.002771 1.653477 1.959573 1.623643 1.748910 1.027435 1.583783 1.141713 1.370513 1.177307 1.508566 1.195911 0.279436 1.507571 0.851304 1.909019 2.289442 1.022246 0.000000 0.750295 	3.301789
1.843231 2.097099 1.875431 2.266867 1.931805 2.488300 1.983622 2.709234 2.051482 0.834409 1.997311 1.685651 1.917882 1.949947 1.839260 1.915864 1.863915 1.342528 1.514535 1.469323 1.169649 1.467694 1.311727 1.470216 0.918956 0.408460 0.243252 0.636379 0.315814 0.153760 0.000000 0.750000 	3.193326
